genericName,brandName,dosageForm,strength,classification
Titanium Dioxide,COOLA Rosilliance Mineral Tinted Face Moisturizer SPF 30 Fresh Rose,LOTION,5.6 g/100mL,General
Acetaminophen,Equate Pain Reliever Acetaminophen for Adults 250 mg,"BAR, CHEWABLE",250 mg/1,General
ALCOHOL,Latalia Hand Sanitizer 80 Alcohol Antiseptic,GEL,.8 mL/mL,General
"Butalbital, Acetaminophen, Caffeine, and Codeine Phosphate","Butalbital, Acetaminophen, Caffeine, and Codeine Phosphate",CAPSULE,300 mg/1,General
Oxymetazoline hydrochloride,nasal,SPRAY,.05 g/100mL,General
tirzepatide,Zepbound,"INJECTION, SOLUTION",12.5 mg/.5mL,General
Mesalamine,Mesalamine,"TABLET, DELAYED RELEASE",1.2 g/1,General
Diazepam,Diazepam,TABLET,5 mg/1,General
Celecoxib,Celecoxib,CAPSULE,100 mg/1,General
Lisinopril,Lisinopril,TABLET,40 mg/1,General
Amitriptyline HCL,Amitriptyline HCL,"TABLET, FILM COATED",10 mg/1,General
azithromycin dihydrate,azithromycin dihydrate,TABLET,250 mg/1,General
Loperamide HCl,ANTI-DIARRHEAL,TABLET,2 mg/1,General
ALCOHOL,B-Pure Hand Sanitizer Cherry Scented,LIQUID,70 mL/100mL,General
Levothyroxine Sodium,Levothyroxine sodium,TABLET,25 ug/1,General
Estradiol,Estradiol,TABLET,1 mg/1,General
nicotine polacrilex,BLIP,LOZENGE,2 mg/1,General
divalproex sodium,divalproex sodium,"TABLET, DELAYED RELEASE",250 mg/1,General
ZINC OXIDE 22.75%,SPF50 SHEER GLOW BALM ESPRESSO MARTINI 9g,LIPSTICK,22.75 g/100g,General
"Alumina, Calcarea Silicata, Magnesia Sulphurica, Silicea, Sulphur, Titanium Metallicum, Zincum Metallicum",Mineffect skin protectant,SPRAY,7 [hp_X]/118mL,General
"Berber Aqui, Beta Vulg, Boldo, Carduus Mar, Chelidonium Maj, Hordeum Vulgare, Iris Vers, Rosmarinus, Taraxacum, Avena, Eleutherococcus Senticosus, Xanthoxylum, Equisetum Hyem, Hypericum, Ulmus Fulv, Gettysburg Aqua, Glycyrrhiza, Wildbad Aqua, Carlsbad Aqua, ATP, Hydrogen, Nat Mur, Oxygen, Silicea, Wiesbaden Aqua",Hydrate II,LIQUID,30 [hp_C]/mL,General
Metoprolol succinate,Metoprolol succinate,"TABLET, FILM COATED, EXTENDED RELEASE",50 mg/1,General
Capsaicin 0.03%,Capsaicin 0.03% Patch,PATCH,.03 g/100g,General
Isopropyl Alcohol,Ear Drops for Swimmers,LIQUID,950 mg/mL,General
"Zinc Oxide, Titanium Dioxide",The Mineral Melt SPF30,LOTION,23 mg/mL,General
dexamethasone,Hemady,TABLET,20 mg/1,General
levothyroxine sodium,Levothyroxine Sodium,CAPSULE,125 ug/1,General
Magnesia Carbonica,Bestmade Natural Products Mag Carb,"TABLET, SOLUBLE",30 [hp_C]/30[hp_C],General
Amlodipine besylate,Amlodipine Besylate,TABLET,2.5 mg/1,General
"Echinacea (Angustifolia), Phytolacca Decandra, Thuja Occidentalis, Arsenicum Iodatum, Curcuma Longa, Spleen (Bovine), Thymus (Ovine), Conium Maculatum, Lymph Node (Suis), Scrophularia Nodosa, Silicea, Asterias Rubens, Hydrastis Canadensis, Bufo Rana",Lymph Liquescence,LIQUID,6 [hp_X]/mL,General
paroxetine,BRISDELLE,CAPSULE,7.5 mg/1,General
Thiamine Hydrochloride,Thiamine Hydrochloride,"INJECTION, SOLUTION",100 mg/mL,General
"aluminum hydroxide, magnesium hydroxide, simethicone",QCH Regular Strength Antacid 509,LIQUID,400 mg/10mL,General
ORLASKIN HYDRATING SUNSCREEN,ORLASKIN HYDRATING SUNSCREEN,SPRAY,3 g/100mL,General
Desensitizing Lubricant,STA-HARD,CREAM,5 g/100mL,General
Benzalkonium Chloride,NOxyDERM,LIQUID,.13 g/100mL,General
ZINC OXIDE,Dolce and Gabbana Blueberry Nutri Tint SPF 20 7N Light,EMULSION,67 mg/mL,General
Colloidal Oatmeal,First Aid Beauty FAB Ultra Repair Skin Protectant Birthday Hydration,CREAM,.5 g/100g,General
Antiperspirant Stick,Suave Invisible Solid Antiperspirant Deodorant Coconut Kiss,STICK,18.2 g/100g,General
Guaifenesin and Pseudoephedrine HCL,Guaifenesin and Pseudoephedrine HCl,"TABLET, EXTENDED RELEASE",600 mg/1,General
Acetaminophen and Diphenhydramine HCl,Pain Relief Acetaminophen PM Extra Strength,"TABLET, FILM COATED",500 mg/1,General
"SULFUR, SALICYLIC ACID",Sulfur 8 Scalp Therapy Medicated Dandruff Control Scalp Butter Cream,OINTMENT,30 mg/g,General
LAMOTRIGINE,LAMOTRIGINE,TABLET,150 mg/1,General
Efinaconazole,Efinaconazole,POWDER,1 kg/kg,General
norethindrone acetate/ethinyl estradiol,norethindrone acetate/ethinyl estradiol,KIT,N/A,General
DEXTROMETHORPHAN HYDROBROMIDE,DEXTROMETHORPHAN HYDROBROMIDE,CAPSULE,15 mg/1,General
Latanoprost,Latanoprost,OIL,1 g/g,General
brimonidine tartrate,brimonidine tartrate,SOLUTION/ DROPS,.25 mg/mL,General
Montelukast sodium,Montelukast sodium,GRANULE,1 kg/kg,General
Leflunomide,Leflunomide,POWDER,1 kg/kg,General
BENZALKONIUM CHLORIDE,FoamFresh E-2 Sanitizer Cleanser,LIQUID,1.3 mg/mL,General
Oxymetholone,Oxymetholone,POWDER,35 kg/35kg,General
Tolnaftate,Tinactin,"AEROSOL, SPRAY",10 mg/g,General
CX-038839 OMICRON (XBB.1.5),CX-038839 OMICRON (XBB.1.5),"INJECTION, SUSPENSION",50 ug/.5mL,General
SLU-PP-332,SLU-PP-332,POWDER,100 g/100g,General
GLIPIZIDE,GLIPIZIDE,POWDER,1 g/g,General
"OCTINOXATE,OCTISALATE,ZINC OXIDE",FUTURIST SKIN TINT SERUM,CREAM,67 mg/mL,General
Guaifenesin,Mucus Relief Extended-Release,TABLET,600 mg/1,General
"Acetaminophen, Dextromethorphan HBr, Doxylamine succinate",Vicks DayQuil and Vicks NyQuil ELDERBERRY COLD and FLU,KIT,N/A,General
ANTIPERSPIRANT DEODORANT ROLL-ON,ZERMAT PORTO ANTIPERSPIRANT DEODORANT ROLL-ON FOR MEN,CREAM,7.1 g/71g,General
"Avobenzone, Homosalate, Octisalate, Octocrylene",Sunny Defense SPF Stick,STICK,.4875 g/19.5g,General
Zinc Oxide,AXIS-Y Complete No-Stress Physical Sunscreen V.3,CREAM,17 g/50mL,General
Promethazine Hydrochloride,Promethazine Hydrochloride,INJECTION,25 mg/mL,General
Salicylic acid,Wart Remover Pads,PATCH,.4 g/1,General
Carboxymethylcellulose sodium,EYE DROPS,LIQUID,.25 g/100mL,General
TITANIUM DIOXIDE,EELHOE Matte Sun Stick,CREAM,.0036 mg/18mg,General
