code,description,category
E67.0,Hypervitaminosis A,General
A01.1,Paratyphoid fever A,General
A79.82,Anaplasmosis [A. phagocytophilum],General
E76.210,Morquio A mucopolysaccharidoses,General
E78.41,Elevated Lipoprotein(a),General
Z67.A2,Duffy a positive,General
M96.830,Postprocedural hemorrhage of a musculoskeletal structure following a musculoskeletal system procedure,General
M96.840,Postprocedural hematoma of a musculoskeletal structure following a musculoskeletal system procedure,General
M96.842,Postprocedural seroma of a musculoskeletal structure following a musculoskeletal system procedure,General
E50.9,"Vitamin A deficiency, unspecified",General
Z14.01,Asymptomatic hemophilia A carrier,General
Z14.02,Symptomatic hemophilia A carrier,General
Z73.1,Type A behavior pattern,General
I97.610,Postprocedural hemorrhage of a circulatory system organ or structure following a cardiac catheterization,General
I97.630,Postprocedural hematoma of a circulatory system organ or structure following a cardiac catheterization,General
I97.640,Postprocedural seroma of a circulatory system organ or structure following a cardiac catheterization,General
M96.810,Intraoperative hemorrhage and hematoma of a musculoskeletal structure complicating a musculoskeletal system procedure,General
M96.820,Accidental puncture and laceration of a musculoskeletal structure during a musculoskeletal system procedure,General
B15.0,Hepatitis A with hepatic coma,General
B15.9,Hepatitis A without hepatic coma,General
E50.4,Vitamin A deficiency with keratomalacia,General
E64.1,Sequelae of vitamin A deficiency,General
E75.240,Niemann-Pick disease type A,General
E88.811,"Insulin resistance syndrome, Type A",General
H50.06,Alternating esotropia with A pattern,General
H50.16,Alternating exotropia with A pattern,General
T81.44XS,"Sepsis following a procedure, sequela",General
Y93.81,"Activity, refereeing a sports activity",General
Z67.10,"Type A blood, Rh positive",General
Z67.11,"Type A blood, Rh negative",General
Z67.A4,Duffy a and b positive,General
G97.51,Postprocedural hemorrhage of a nervous system organ or structure following a nervous system procedure,General
G97.61,Postprocedural hematoma of a nervous system organ or structure following a nervous system procedure,General
G97.63,Postprocedural seroma of a nervous system organ or structure following a nervous system procedure,General
J95.830,Postprocedural hemorrhage of a respiratory system organ or structure following a respiratory system procedure,General
J95.860,Postprocedural hematoma of a respiratory system organ or structure following a respiratory system procedure,General
J95.862,Postprocedural seroma of a respiratory system organ or structure following a respiratory system procedure,General
K91.840,Postprocedural hemorrhage of a digestive system organ or structure following a digestive system procedure,General
K91.870,Postprocedural hematoma of a digestive system organ or structure following a digestive system procedure,General
K91.872,Postprocedural seroma of a digestive system organ or structure following a digestive system procedure,General
N99.820,Postprocedural hemorrhage of a genitourinary system organ or structure following a genitourinary system procedure,General
N99.840,Postprocedural hematoma of a genitourinary system organ or structure following a genitourinary system procedure,General
N99.842,Postprocedural seroma of a genitourinary system organ or structure following a genitourinary system procedure,General
I97.410,Intraoperative hemorrhage and hematoma of a circulatory system organ or structure complicating a cardiac catheterization,General
I97.411,Intraoperative hemorrhage and hematoma of a circulatory system organ or structure complicating a cardiac bypass,General
A40.0,"Sepsis due to streptococcus, group A",General
D68.020,"Von Willebrand disease, type 2A",General
D80.2,Selective deficiency of immunoglobulin A [IgA],General
E50.0,Vitamin A deficiency with conjunctival xerosis,General
E50.2,Vitamin A deficiency with corneal xerosis,General
E50.5,Vitamin A deficiency with night blindness,General
E50.8,Other manifestations of vitamin A deficiency,General
E75.244,Niemann-Pick disease type A/B,General
N18.31,"Chronic kidney disease, stage 3a",General
QA0.0101,SCN2A-related neurodevelopmental disorder,General
QA0.0102,CACNA1A-related neurodevelopmental disorder,General
QA0.0131,SLC6A1-related disorder,General
